Fairness,dimensions,epochs,layers,learning_rate,model,parity,equality,Accuracy
False,4,50,2,0.001,GCN,0.0024499893188476562,0.005953192710876465,0.25503114518447534
False,4,50,2,0.001,FairMP_GCN,0.0,0.0,0.2527252036415908
False,4,50,2,0.01,GCN,0.0,0.0,0.7472747963584092
False,4,50,2,0.01,FairMP_GCN,0.0,0.0,0.7472747963584092
False,4,50,2,0.1,GCN,0.03198699653148651,0.10752740502357483,0.8391530905606133
False,4,50,2,0.1,FairMP_GCN,0.0,0.0,0.7472747963584092
False,4,50,4,0.001,GCN,0.0001469405833631754,0.0010999898659065366,0.7475143747005271
False,4,50,4,0.001,FairMP_GCN,0.0,0.0,0.2527252036415908
False,4,50,4,0.01,GCN,0.026605144143104553,0.11027953028678894,0.8303485864877815
False,4,50,4,0.01,FairMP_GCN,0.0,0.0,0.7472747963584092
False,4,50,4,0.1,GCN,0.07924769818782806,0.09031158685684204,0.8274137517968375
False,4,50,4,0.1,FairMP_GCN,0.024385474622249603,0.027219288051128387,0.7594333972208912
False,4,100,2,0.001,GCN,0.0013385573402047157,0.013736794702708721,0.7515872065165309
False,4,100,2,0.001,FairMP_GCN,0.0,0.0,0.7472747963584092
False,4,100,2,0.01,GCN,0.033508673310279846,0.11235219240188599,0.8458313368471491
False,4,100,2,0.01,FairMP_GCN,0.00789368711411953,0.004873417317867279,0.7633265452803066
False,4,100,2,0.1,GCN,0.051382824778556824,0.10956913232803345,0.8426868711068519
False,4,100,2,0.1,FairMP_GCN,0.04229176789522171,0.00636330246925354,0.8314566363200767
False,4,100,4,0.001,GCN,0.014093523845076561,0.027368765324354172,0.7577563488260661
False,4,100,4,0.001,FairMP_GCN,0.0,0.0,0.7472747963584092
False,4,100,4,0.01,GCN,0.02977488934993744,0.12032943964004517,0.841099664590321
False,4,100,4,0.01,FairMP_GCN,0.0,0.0,0.7472747963584092
False,4,100,4,0.1,GCN,0.0,0.0,0.7472747963584092
False,4,100,4,0.1,FairMP_GCN,0.0,0.0,0.7472747963584092
False,8,50,2,0.001,GCN,0.002235220745205879,0.0226505845785141,0.7587745567800671
False,8,50,2,0.001,FairMP_GCN,0.0,0.0,0.7472747963584092
False,8,50,2,0.01,GCN,0.030052080750465393,0.11405956745147705,0.8437649736463824
False,8,50,2,0.01,FairMP_GCN,0.0,0.0,0.7472747963584092
False,8,50,2,0.1,GCN,0.03553396463394165,0.10747447609901428,0.8433157642549114
False,8,50,2,0.1,FairMP_GCN,0.037808291614055634,0.03728139400482178,0.8231612362242453
False,8,50,4,0.001,GCN,0.0,0.0,0.7472747963584092
False,8,50,4,0.001,FairMP_GCN,0.0,0.0,0.7472747963584092
False,8,50,4,0.01,GCN,0.04217442870140076,0.10650238394737244,0.8403509822712026
False,8,50,4,0.01,FairMP_GCN,0.0,0.0,0.7472747963584092
False,8,50,4,0.1,GCN,0.0,0.0,0.7472747963584092
False,8,50,4,0.1,FairMP_GCN,0.008007314056158066,0.06792594492435455,0.7971669861044561
False,8,100,2,0.001,GCN,8.15768726170063e-05,0.0006940988823771477,0.7478138476281744
False,8,100,2,0.001,FairMP_GCN,0.0,0.0,0.7472747963584092
False,8,100,2,0.01,GCN,0.032757073640823364,0.11552408337593079,0.8443938667944417
False,8,100,2,0.01,FairMP_GCN,0.02222413942217827,0.0012715905904769897,0.8015392908481074
