Fairness,dimensions,epochs,layers,learning_rate,model,parity,equality,Accuracy
False,4,50,2,0.001,GAT,0.0009840726852416992,0.0007608532905578613,0.25371346430282704
False,4,50,2,0.001,Fair_Attention_MP_GCN,0.0,0.0,0.7472747963584092
False,4,50,2,0.01,GAT,0.019978083670139313,0.16002307832241058,0.8001617153809296
False,4,50,2,0.01,Fair_Attention_MP_GCN,0.0,0.0,0.7472747963584092
False,4,50,2,0.1,GAT,0.04076308012008667,0.11097127199172974,0.8432858169621467
False,4,50,2,0.1,Fair_Attention_MP_GCN,0.0,0.0,0.7472747963584092
False,4,75,2,0.001,GAT,0.0,0.0,0.7472747963584092
False,4,75,2,0.001,Fair_Attention_MP_GCN,0.0,0.0,0.7472747963584092
False,4,75,2,0.01,GAT,0.044160619378089905,0.12114748358726501,0.8419681360804984
False,4,75,2,0.01,Fair_Attention_MP_GCN,0.08831749856472015,0.07328689098358154,0.9003953042644945
False,4,75,2,0.1,GAT,0.04926465451717377,0.10094994306564331,0.8516411116435074
False,4,75,2,0.1,Fair_Attention_MP_GCN,0.0,0.0,0.7472747963584092
False,4,100,2,0.001,GAT,0.00039842724800109863,0.0013939363416284323,0.7473945855294681
False,4,100,2,0.001,Fair_Attention_MP_GCN,0.0,0.0,0.7472747963584092
False,4,100,2,0.01,GAT,0.041253671050071716,0.112823486328125,0.8433756588404409
False,4,100,2,0.01,Fair_Attention_MP_GCN,0.03961208462715149,0.10740149021148682,0.8527192141830379
False,4,100,2,0.1,GAT,0.0452364981174469,0.11690592765808105,0.8460110206037375
False,4,100,2,0.1,Fair_Attention_MP_GCN,0.0,0.0,0.7472747963584092
False,8,50,2,0.001,GAT,0.0002590324729681015,0.0020644734613597393,0.7478737422137038
False,8,50,2,0.001,Fair_Attention_MP_GCN,0.0,0.0,0.7472747963584092
False,8,50,2,0.01,GAT,0.038920968770980835,0.10233402252197266,0.834241734547197
False,8,50,2,0.01,Fair_Attention_MP_GCN,0.0289479847997427,0.039099425077438354,0.7853677527551509
False,8,50,2,0.1,GAT,0.03578804433345795,0.1257954239845276,0.8378653569717297
False,8,50,2,0.1,Fair_Attention_MP_GCN,0.0002560615539550781,0.0005614757537841797,0.25350383325347386
False,8,75,2,0.001,GAT,0.01601298153400421,0.11285585165023804,0.7790788212745567
False,8,75,2,0.001,Fair_Attention_MP_GCN,0.0,0.0,0.7472747963584092
False,8,75,2,0.01,GAT,0.05685354769229889,0.07256802916526794,0.8295100622903689
False,8,75,2,0.01,Fair_Attention_MP_GCN,0.038790419697761536,0.10565555095672607,0.850892429324389
False,8,75,2,0.1,GAT,0.06277208030223846,0.09374070167541504,0.8386140392908481
False,8,75,2,0.1,Fair_Attention_MP_GCN,0.0,0.0,0.7472747963584092
False,8,100,2,0.001,GAT,0.0006038830033503473,0.000981196528300643,0.7474544801149976
False,8,100,2,0.001,Fair_Attention_MP_GCN,0.01979205757379532,0.0498155802488327,0.8032462865356972
False,8,100,2,0.01,GAT,0.038196295499801636,0.08883893489837646,0.8431061332055583
False,8,100,2,0.01,Fair_Attention_MP_GCN,0.09423165023326874,0.0004571676254272461,0.9974844274077623
False,8,100,2,0.1,GAT,0.04670342803001404,0.10309457778930664,0.8426868711068519
False,8,100,2,0.1,Fair_Attention_MP_GCN,0.0029550977051258087,0.03631193935871124,0.748532582654528
False,16,50,2,0.001,GAT,0.0006395805976353586,0.0022402547765523195,0.7474245328222329
False,16,50,2,0.001,Fair_Attention_MP_GCN,0.0,0.0,0.7472747963584092
False,16,50,2,0.01,GAT,0.03508554399013519,0.12082207202911377,0.8431959750838525
False,16,50,2,0.01,Fair_Attention_MP_GCN,0.051639750599861145,0.0911824107170105,0.8498442740776234
False,16,50,2,0.1,GAT,0.06692980229854584,0.060500890016555786,0.8158540967896503
False,16,50,2,0.1,Fair_Attention_MP_GCN,0.04056389629840851,0.024212896823883057,0.8329839482510781
False,16,75,2,0.001,GAT,0.026750952005386353,0.054253339767456055,0.8080678006708194
False,16,75,2,0.001,Fair_Attention_MP_GCN,0.0,0.0,0.7472747963584092
False,16,75,2,0.01,GAT,0.03887553513050079,0.11243492364883423,0.8436451844753234
False,16,75,2,0.01,Fair_Attention_MP_GCN,0.04188399016857147,0.10407477617263794,0.8529587925251557
False,16,75,2,0.1,GAT,0.02789066731929779,0.10997888445854187,0.8399916147580259
False,16,75,2,0.1,Fair_Attention_MP_GCN,0.0,0.0,0.7472747963584092
False,16,100,2,0.001,GAT,0.037179261445999146,0.09156337380409241,0.8331037374221371
False,16,100,2,0.001,Fair_Attention_MP_GCN,0.058324217796325684,0.07348483800888062,0.8449928126497365
False,16,100,2,0.01,GAT,0.04603709280490875,0.1036587655544281,0.8427467656923814
False,16,100,2,0.01,Fair_Attention_MP_GCN,0.042933762073516846,0.1055251955986023,0.8542465261140393
False,16,100,2,0.1,GAT,0.03479310870170593,0.12144243717193604,0.844603497843795
False,16,100,2,0.1,Fair_Attention_MP_GCN,0.0004054273013025522,0.0007015129667706788,0.747184954480115
