Fairness,dimensions,epochs,layers,learning_rate,model,parity,equality,Accuracy
False,16,50,2,0.001,GCN,0.009345829486846924,0.012048184871673584,0.7407407407407407
False,16,50,2,0.001,FairMP_GCN,5.960464477539063e-08,0.0,0.7407407407407407
False,16,50,2,0.01,GCN,5.960464477539063e-08,0.0,0.7407407407407407
False,16,50,2,0.01,FairMP_GCN,5.960464477539063e-08,0.0,0.7407407407407407
False,16,50,2,0.1,GCN,5.960464477539063e-08,0.0,0.7407407407407407
False,16,50,2,0.1,FairMP_GCN,0.3457944393157959,0.3012048006057739,0.7283950617283951
False,16,50,4,0.001,GCN,5.960464477539063e-08,0.0,0.7407407407407407
False,16,50,4,0.001,FairMP_GCN,5.960464477539063e-08,0.0,0.7407407407407407
False,16,50,4,0.01,GCN,5.960464477539063e-08,0.0,0.7407407407407407
False,16,50,4,0.01,FairMP_GCN,5.960464477539063e-08,0.0,0.7407407407407407
False,16,50,4,0.1,GCN,5.960464477539063e-08,0.0,0.7407407407407407
False,16,50,4,0.1,FairMP_GCN,0.47663551568984985,0.4698794484138489,0.7037037037037037
False,16,100,2,0.001,GCN,5.960464477539063e-08,0.0,0.7407407407407407
False,16,100,2,0.001,FairMP_GCN,5.960464477539063e-08,0.0,0.7407407407407407
False,16,100,2,0.01,GCN,0.010135054588317871,0.008695662021636963,0.7160493827160493
False,16,100,2,0.01,FairMP_GCN,0.20560747385025024,0.1807228922843933,0.7407407407407407
False,16,100,2,0.1,GCN,5.960464477539063e-08,0.0,0.7407407407407407
False,16,100,2,0.1,FairMP_GCN,0.2863413095474243,0.24096381664276123,0.7283950617283951
False,16,100,4,0.001,GCN,0.010135054588317871,0.008695662021636963,0.7160493827160493
False,16,100,4,0.001,FairMP_GCN,0.008556452579796314,0.01540073286741972,0.25925925925925924
False,16,100,4,0.01,GCN,0.010135054588317871,0.008695662021636963,0.7160493827160493
False,16,100,4,0.01,FairMP_GCN,0.21495330333709717,0.20481926202774048,0.7407407407407407
False,16,100,4,0.1,GCN,5.960464477539063e-08,0.0,0.7407407407407407
False,16,100,4,0.1,FairMP_GCN,0.07476639747619629,0.024096369743347168,0.7530864197530864
False,16,200,2,0.001,GCN,0.013734579086303711,0.015400707721710205,0.7283950617283951
False,16,200,2,0.001,FairMP_GCN,0.058884818106889725,0.05055002495646477,0.25925925925925924
False,16,200,2,0.01,GCN,0.013513445854187012,0.008695662021636963,0.7283950617283951
False,16,200,2,0.01,FairMP_GCN,0.3382483124732971,0.3089051842689514,0.7160493827160493
False,16,200,2,0.1,GCN,5.960464477539063e-08,0.0,0.7407407407407407
False,16,200,2,0.1,FairMP_GCN,0.04515033960342407,0.03179675340652466,0.7407407407407407
False,16,200,4,0.001,GCN,0.007546067237854004,0.008695662021636963,0.7283950617283951
False,16,200,4,0.001,FairMP_GCN,5.960464477539063e-08,0.0,0.7407407407407407
False,16,200,4,0.01,GCN,0.013513445854187012,0.008695662021636963,0.7160493827160493
False,16,200,4,0.01,FairMP_GCN,0.6915887594223022,0.6987951397895813,0.6419753086419753
False,16,200,4,0.1,GCN,5.960464477539063e-08,0.0,0.7407407407407407
False,16,200,4,0.1,FairMP_GCN,0.05866384506225586,0.00770038366317749,0.7530864197530864
False,16,500,2,0.001,GCN,0.0043888092041015625,0.003352522850036621,0.7283950617283951
False,16,500,2,0.001,FairMP_GCN,0.10280376672744751,0.09638553857803345,0.7530864197530864
False,16,500,2,0.01,GCN,0.023080408573150635,0.003352522850036621,0.7283950617283951
False,16,500,2,0.01,FairMP_GCN,0.020491302013397217,0.00770038366317749,0.7283950617283951
False,16,500,2,0.1,GCN,5.960464477539063e-08,0.0,0.7407407407407407
False,16,500,2,0.1,FairMP_GCN,0.06463128328323364,0.019748568534851074,0.7407407407407407
False,16,500,4,0.001,GCN,0.013513445854187012,0.008695662021636963,0.7160493827160493
False,16,500,4,0.001,FairMP_GCN,5.960464477539063e-08,0.0,0.7407407407407407
False,16,500,4,0.01,GCN,0.0017997026443481445,0.015400707721710205,0.7283950617283951
False,16,500,4,0.01,FairMP_GCN,0.0433506965637207,0.024096369743347168,0.7407407407407407
False,16,500,4,0.1,GCN,0.0067566633224487305,0.008695662021636963,0.7283950617283951
False,16,500,4,0.1,FairMP_GCN,0.037383198738098145,0.012048184871673584,0.7407407407407407
False,32,50,2,0.001,GCN,0.0067566633224487305,0.008695662021636963,0.7283950617283951
False,32,50,2,0.001,FairMP_GCN,0.01711290515959263,0.023101098835468292,0.2839506172839506
False,32,50,2,0.01,GCN,0.0067566633224487305,0.004347801208496094,0.7283950617283951
False,32,50,2,0.01,FairMP_GCN,5.960464477539063e-08,0.0,0.7407407407407407
False,32,50,2,0.1,GCN,5.960464477539063e-08,0.0,0.7407407407407407
False,32,50,2,0.1,FairMP_GCN,0.4205607771873474,0.40963852405548096,0.7283950617283951
False,32,50,4,0.001,GCN,5.960464477539063e-08,0.0,0.7407407407407407
False,32,50,4,0.001,FairMP_GCN,5.960464477539063e-08,0.0,0.7407407407407407
False,32,50,4,0.01,GCN,5.960464477539063e-08,0.0,0.7407407407407407
False,32,50,4,0.01,FairMP_GCN,5.960464477539063e-08,0.0,0.7407407407407407
False,32,50,4,0.1,GCN,5.960464477539063e-08,0.0,0.7407407407407407
False,32,50,4,0.1,FairMP_GCN,0.4672897458076477,0.4698794484138489,0.7037037037037037
False,32,100,2,0.001,GCN,0.004957020282745361,0.003352522850036621,0.7283950617283951
False,32,100,2,0.001,FairMP_GCN,0.03084743395447731,0.03850183263421059,0.25925925925925924
