Fairness,dimensions,epochs,layers,learning_rate,model,parity,equality,Accuracy
False,16,50,2,0.001,GAT,0.002589106559753418,0.003352522850036621,0.7407407407407407
False,16,50,2,0.001,Fair_Attention_MP_GCN,5.960464477539063e-08,0.0,0.7407407407407407
False,16,50,2,0.01,GAT,0.010135054588317871,0.008695662021636963,0.7160493827160493
False,16,50,2,0.01,Fair_Attention_MP_GCN,0.010135054588317871,0.008695662021636963,0.7160493827160493
False,16,50,2,0.1,GAT,0.0067566633224487305,0.004347801208496094,0.7283950617283951
False,16,50,2,0.1,Fair_Attention_MP_GCN,0.027469098567962646,0.0019905567169189453,0.7160493827160493
False,16,50,4,0.001,GAT,5.960464477539063e-08,0.0,0.7407407407407407
False,16,50,4,0.001,Fair_Attention_MP_GCN,5.960464477539063e-08,0.0,0.7407407407407407
False,16,50,4,0.01,GAT,5.960464477539063e-08,0.0,0.7407407407407407
False,16,50,4,0.01,Fair_Attention_MP_GCN,5.960464477539063e-08,0.0,0.7407407407407407
False,16,50,4,0.1,GAT,5.960464477539063e-08,0.0,0.7407407407407407
False,16,50,4,0.1,Fair_Attention_MP_GCN,0.0,0.0,0.25925925925925924
False,16,100,2,0.001,GAT,0.009345829486846924,0.012048184871673584,0.7407407407407407
False,16,100,2,0.001,Fair_Attention_MP_GCN,5.960464477539063e-08,0.0,0.7407407407407407
False,16,100,2,0.01,GAT,0.003157317638397217,0.0019905567169189453,0.7283950617283951
False,16,100,2,0.01,Fair_Attention_MP_GCN,0.017333984375,0.01938188076019287,0.691358024691358
False,16,100,2,0.1,GAT,5.960464477539063e-08,0.0,0.7407407407407407
False,16,100,2,0.1,Fair_Attention_MP_GCN,0.0,0.0,0.25925925925925924
False,16,100,4,0.001,GAT,0.0067566633224487305,0.004347801208496094,0.7283950617283951
False,16,100,4,0.001,Fair_Attention_MP_GCN,5.960464477539063e-08,0.0,0.7407407407407407
False,16,100,4,0.01,GAT,5.960464477539063e-08,0.0,0.7407407407407407
False,16,100,4,0.01,Fair_Attention_MP_GCN,5.960464477539063e-08,0.0,0.7407407407407407
False,16,100,4,0.1,GAT,5.960464477539063e-08,0.0,0.7407407407407407
False,16,100,4,0.1,Fair_Attention_MP_GCN,5.960464477539063e-08,0.0,0.7407407407407407
False,16,200,2,0.001,GAT,0.01092439889907837,0.005343079566955566,0.7160493827160493
