Fairness,dimensions,epochs,layers,learning_rate,model,parity,equality,Accuracy
False,16,50,2,0.001,GCN,0.0003022439777851105,0.0002851474564522505,0.8714135496469881
False,16,50,2,0.001,FairMP_GCN,0.0,0.0,0.871563767462821
False,16,50,2,0.01,GCN,0.0,0.0,0.871563767462821
False,16,50,2,0.01,FairMP_GCN,0.0,0.0,0.871563767462821
False,16,50,2,0.1,GCN,0.0,0.0,0.871563767462821
False,16,50,2,0.1,FairMP_GCN,0.0004013710713479668,0.000226255739107728,0.8714135496469881
False,16,50,4,0.001,GCN,6.337402737699449e-05,0.00033472804352641106,0.871563767462821
False,16,50,4,0.001,FairMP_GCN,0.0,0.0,0.871563767462821
False,16,50,4,0.01,GCN,2.2749300114810467e-05,0.00037398916902020574,0.871563767462821
False,16,50,4,0.01,FairMP_GCN,0.0,0.0,0.871563767462821
False,16,50,4,0.1,GCN,0.0,0.0,0.871563767462821
False,16,50,4,0.1,FairMP_GCN,0.0005817387136630714,0.0004628309397958219,0.8711131140153222
False,16,100,2,0.001,GCN,0.0,0.0,0.871563767462821
False,16,100,2,0.001,FairMP_GCN,0.0,0.0,0.871563767462821
False,16,100,2,0.01,GCN,0.00011862267274409533,0.00012810289626941085,0.8714135496469881
False,16,100,2,0.01,FairMP_GCN,7.797963917255402e-05,0.0027108006179332733,0.869986480396575
False,16,100,2,0.1,GCN,0.0,0.0,0.871563767462821
False,16,100,2,0.1,FairMP_GCN,0.0,0.0,0.871563767462821
False,16,100,4,0.001,GCN,0.0,0.0,0.871563767462821
False,16,100,4,0.001,FairMP_GCN,0.00028599545476026833,0.0,0.8713384407390716
False,16,100,4,0.01,GCN,0.00030711787985637784,0.00017768354155123234,0.871563767462821
False,16,100,4,0.01,FairMP_GCN,0.0,0.0,0.871563767462821
False,16,100,4,0.1,GCN,0.0,0.0,0.871563767462821
False,16,100,4,0.1,FairMP_GCN,0.0,0.0,0.871563767462821
False,16,200,2,0.001,GCN,0.0007344853365793824,0.002333785407245159,0.8716388763707376
False,16,200,2,0.001,FairMP_GCN,0.0,0.0,0.871563767462821
False,16,200,2,0.01,GCN,0.0009620031341910362,0.004594326019287109,0.8717890941865706
False,16,200,2,0.01,FairMP_GCN,4.065129905939102e-05,0.0036581121385097504,0.8687847378699114
False,16,200,2,0.1,GCN,0.0,0.0,0.871563767462821
False,16,200,2,0.1,FairMP_GCN,0.0006304774433374405,0.00386170856654644,0.870437133844074
False,16,200,4,0.001,GCN,0.0001998766092583537,0.00042256107553839684,0.8716388763707376
False,16,200,4,0.001,FairMP_GCN,0.0,0.0,0.871563767462821
False,16,200,4,0.01,GCN,0.000390003202483058,0.0004711337387561798,0.8712633318311552
False,16,200,4,0.01,FairMP_GCN,0.00022261915728449821,0.00010847230441868305,0.8710380051074057
False,16,200,4,0.1,GCN,1.3008248060941696e-05,0.001713909674435854,0.8711131140153222
False,16,200,4,0.1,FairMP_GCN,0.0,0.0,0.871563767462821
False,16,500,2,0.001,GCN,0.0010075061582028866,0.00109931081533432,0.8710380051074057
False,16,500,2,0.001,FairMP_GCN,0.0,0.0,0.871563767462821
False,16,500,2,0.01,GCN,0.0007377502042800188,0.0029113739728927612,0.8722397476340694
False,16,500,2,0.01,FairMP_GCN,0.001844305545091629,0.0216992050409317,0.8642782033949227
False,16,500,2,0.1,GCN,0.0,0.0,0.871563767462821
False,16,500,2,0.1,FairMP_GCN,0.00027458276599645615,0.004468001425266266,0.8657803815532522
False,16,500,4,0.001,GCN,0.0003591533750295639,0.002271633595228195,0.8702118071203244
False,16,500,4,0.001,FairMP_GCN,0.0,0.0,0.871563767462821
False,16,500,4,0.01,GCN,0.004574369639158249,0.006900407373905182,0.866531470632417
False,16,500,4,0.01,FairMP_GCN,0.0011813528835773468,0.0038008003029972315,0.8699113714886586
False,16,500,4,0.1,GCN,0.0,0.0,0.871563767462821
False,16,500,4,0.1,FairMP_GCN,0.0019548337440937757,0.005012618377804756,0.8678834309749136
False,32,50,2,0.001,GCN,2.11246770049911e-05,0.0,0.871563767462821
False,32,50,2,0.001,FairMP_GCN,0.0,0.0,0.871563767462821
False,32,50,2,0.01,GCN,0.0,0.0,0.871563767462821
False,32,50,2,0.01,FairMP_GCN,0.0,0.0,0.871563767462821
False,32,50,2,0.1,GCN,0.0,0.0,0.871563767462821
False,32,50,2,0.1,FairMP_GCN,0.00040625617839396,0.0011199507862329483,0.8711882229232387
False,32,50,4,0.001,GCN,0.0005135021638125181,0.0008647534996271133,0.8720895298182364
False,32,50,4,0.001,FairMP_GCN,0.0,0.0,0.871563767462821
False,32,50,4,0.01,GCN,9.756768122315407e-06,5.788309499621391e-05,0.8719393120024035
False,32,50,4,0.01,FairMP_GCN,0.0,0.0,0.871563767462821
False,32,50,4,0.1,GCN,0.0,0.0,0.871563767462821
False,32,50,4,0.1,FairMP_GCN,0.0,0.0,0.871563767462821
